wl_r_RAW,qe_r_RAW,wl_g_RAW,qe_g_RAW,wl_b_RAW,qe_b_RAW,wl,qe_r,qe_g,qe_b
6.569758064516129252e+02,3.298368298368298257e-01,8.127822580645160997e+02,1.228438228438228641e-01,8.665725806451612243e+02,8.554778554778555422e-02,5.025000000000000000e+02,1.771098550762358927e-03,5.887837116509606616e-01,2.882640459272365896e-01
6.639314516129031745e+02,3.102564102564102644e-01,8.234475806451612243e+02,1.135198135198135505e-01,8.735282258064517009e+02,7.808857808857810889e-02,5.050000000000000000e+02,1.576556679376143024e-03,5.979096152474756565e-01,2.577445945853804599e-01
6.727419354838709751e+02,2.953379953379954292e-01,8.331854838709678006e+02,1.079254079254079457e-01,8.865120967741936511e+02,7.249417249417250408e-02,5.075000000000000000e+02,1.896949282548174081e-03,6.056806628553063065e-01,2.316150601600009684e-01
6.820161290322580498e+02,2.766899766899767465e-01,8.424596774193548754e+02,9.860139860139863210e-02,8.957862903225807258e+02,6.596736596736599290e-02,5.100000000000000000e+02,2.744745973239693521e-03,6.120465299295031469e-01,2.099631392229907578e-01
6.936088709677419502e+02,2.655011655011655369e-01,8.503427419354839003e+02,8.834498834498835662e-02,9.092338709677419502e+02,5.291375291375291501e-02,5.125000000000000000e+02,4.347045137080792800e-03,6.172205185514790804e-01,1.907389864213973052e-01
7.093750000000000000e+02,2.505827505827505908e-01,8.586895161290321994e+02,9.020979020979022489e-02,9.185080645161290249e+02,4.452214452214453555e-02,5.150000000000000000e+02,8.457596036226954980e-03,6.216386760289497326e-01,1.720314619864853900e-01
7.200403225806451246e+02,2.421911421911422113e-01,8.642540322580646261e+02,8.461538461538462008e-02,9.310282258064517009e+02,3.426573426573428782e-02,5.175000000000000000e+02,1.716635634224924351e-02,6.257440506840847849e-01,1.536425916371082223e-01
7.269959677419354875e+02,2.328671328671329255e-01,8.730645161290321994e+02,7.715617715617717476e-02,9.440120967741936511e+02,2.960372960372961715e-02,5.200000000000000000e+02,2.355855436026347074e-02,6.298811324102540077e-01,1.363589897042830068e-01
7.376612903225807258e+02,2.235431235431235841e-01,8.846572580645160997e+02,7.156177156177156995e-02,9.588508064516129252e+02,2.494172494172494647e-02,5.225000000000000000e+02,2.680652680652681474e-02,6.337818066180409549e-01,1.209790209790210097e-01
7.515725806451612243e+02,2.188811188811189135e-01,8.916129032258065763e+02,6.969696969696970168e-02,9.713709677419356012e+02,2.400932400932401234e-02,5.250000000000000000e+02,2.956573592727947813e-02,6.369299695910435322e-01,1.080424697570154802e-01
7.627016129032258505e+02,2.160839160839161111e-01,9.018145161290321994e+02,6.037296037296038809e-02,9.838911290322580498e+02,1.561771561771561900e-02,5.275000000000000000e+02,3.133232771869387534e-02,6.384135642755170981e-01,9.705479835268868150e-02
7.715120967741936511e+02,2.011655011655012204e-01,9.166532258064517009e+02,4.638694638694640382e-02,1.003366935483870975e+03,1.282051282051283048e-02,5.300000000000000000e+02,3.083727999343341755e-02,6.368673580864206984e-01,8.726288858514492930e-02
7.844959677419356012e+02,1.918414918414918791e-01,9.324193548387097508e+02,3.519813519813522196e-02,1.017741935483870975e+03,1.002331002331002807e-02,5.325000000000000000e+02,2.723218571818840708e-02,6.317727141447359029e-01,7.791362227348853919e-02
7.919153225806451246e+02,1.815850815850816036e-01,9.500403225806451246e+02,2.960372960372961715e-02,1.038145161290322676e+03,4.428904428904437141e-03,5.350000000000000000e+02,2.006654684337517286e-02,6.244663336865109438e-01,6.850922264785125337e-02
