wl_r_RAW,qe_r_RAW,wl_g_RAW,qe_g_RAW,wl_b_RAW,qe_b_RAW,wl,qe_r,qe_g,qe_b
-1.000000000000000000e+00,-1.000000000000000000e+00,6.879032258064517009e+02,9.953379953379952461e-02,8.185483870967742632e+02,1.508158508158508049e-01,5.150000000000000000e+02,4.002776000000000250e-02,6.084403200000000345e-01,2.062162600000000123e-01
-1.000000000000000000e+00,-1.000000000000000000e+00,6.915322580645160997e+02,1.107226107226107065e-01,8.415322580645162134e+02,1.358974358974358587e-01,5.175000000000000000e+02,4.254253999999999675e-02,6.118674100000000005e-01,1.892355400000000076e-01
-1.000000000000000000e+00,-1.000000000000000000e+00,7.052419354838709751e+02,1.265734265734265729e-01,8.568548387096774377e+02,1.219114219114218883e-01,5.200000000000000000e+02,4.471752999999999839e-02,6.144196600000000341e-01,1.703027500000000027e-01
-1.000000000000000000e+00,-1.000000000000000000e+00,7.157258064516129252e+02,1.368298368298367929e-01,8.725806451612903629e+02,1.088578088578088382e-01,5.225000000000000000e+02,4.647769000000000206e-02,6.169192799999999588e-01,1.538071599999999983e-01
-1.000000000000000000e+00,-1.000000000000000000e+00,7.278225806451613380e+02,1.349650349650349246e-01,8.915322580645162134e+02,8.927738927738927688e-02,5.250000000000000000e+02,4.759246000000000310e-02,6.201240399999999875e-01,1.475941899999999862e-01
-1.000000000000000000e+00,-1.000000000000000000e+00,7.387096774193548754e+02,1.247086247086246907e-01,9.076612903225807258e+02,7.249417249417249021e-02,5.275000000000000000e+02,4.771556999999999882e-02,6.239814099999999586e-01,1.429733699999999885e-01
-1.000000000000000000e+00,-1.000000000000000000e+00,7.475806451612903629e+02,1.340326340326339905e-01,9.290322580645162134e+02,5.757575757575757180e-02,5.300000000000000000e+02,4.649799999999999767e-02,6.278852499999999504e-01,1.241648000000000057e-01
-1.000000000000000000e+00,-1.000000000000000000e+00,7.560483870967742632e+02,1.312354312354312436e-01,9.500000000000001137e+02,4.358974358974358754e-02,5.325000000000000000e+02,4.359514999999999918e-02,6.312187200000000109e-01,1.065469500000000014e-01
-1.000000000000000000e+00,-1.000000000000000000e+00,7.661290322580646261e+02,1.377622377622377270e-01,9.677419354838710888e+02,3.240093240093240567e-02,5.350000000000000000e+02,3.915893000000000151e-02,6.333649599999999769e-01,1.038691199999999953e-01
-1.000000000000000000e+00,-1.000000000000000000e+00,7.786290322580646261e+02,1.414918414918414635e-01,9.850806451612903629e+02,2.587412587412586673e-02,5.375000000000000000e+02,3.428434000000000342e-02,6.337080699999999567e-01,9.572836999999999319e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,7.895161290322580498e+02,1.433566433566433318e-01,9.995967741935484128e+02,1.934731934731934166e-02,5.400000000000000000e+02,3.015968000000000121e-02,6.319797499999999513e-01,8.128601000000000576e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,8.032258064516129252e+02,1.452214452214452001e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,5.425000000000000000e+02,2.734465000000000159e-02,6.287770200000000198e-01,7.364600999999999786e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,8.245967741935484128e+02,1.433566433566433318e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,5.450000000000000000e+02,2.547875000000000140e-02,6.248292500000000027e-01,7.117223999999999773e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,8.443548387096774377e+02,1.303030303030303094e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,5.475000000000000000e+02,2.412836999999999968e-02,6.208658099999999624e-01,7.005751000000000339e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,8.697580645161291386e+02,1.097902097902097723e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,5.500000000000000000e+02,2.286149000000000167e-02,6.173580199999999518e-01,6.659967999999999444e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,8.951612903225807258e+02,8.834498834498834274e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,5.525000000000000000e+02,2.183399999999999924e-02,6.136400100000000135e-01,5.970571999999999685e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,9.161290322580646261e+02,7.342657342657342434e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,5.550000000000000000e+02,2.266521000000000161e-02,6.087327700000000341e-01,5.100390999999999952e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,9.399193548387097508e+02,5.664335664335663767e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,5.575000000000000000e+02,2.699649999999999966e-02,6.016572500000000323e-01,4.225000999999999757e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,9.629032258064517009e+02,4.452214452214452167e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,5.600000000000000000e+02,3.320516999999999913e-02,5.914946199999999710e-01,3.493212999999999874e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,9.798387096774193878e+02,4.172494172494171927e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,5.625000000000000000e+02,3.846184999999999882e-02,5.790835199999999627e-01,2.923869000000000121e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,9.931451612903226760e+02,3.240093240093240567e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,5.650000000000000000e+02,5.026455999999999980e-02,5.672567600000000265e-01,2.496411999999999937e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,9.995967741935484128e+02,3.053613053613053741e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,5.675000000000000000e+02,7.913662000000000474e-02,5.580768999999999869e-01,2.190276000000000028e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.700000000000000000e+02,1.201115400000000027e-01,5.504182699999999873e-01,1.984893000000000074e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.725000000000000000e+02,1.614869100000000113e-01,5.424316900000000219e-01,1.859697000000000086e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.750000000000000000e+02,2.020302399999999998e-01,5.322792899999999605e-01,1.794122000000000078e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.775000000000000000e+02,2.434118299999999957e-01,5.188581899999999969e-01,1.767602999999999883e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.800000000000000000e+02,2.853197699999999726e-01,5.022379200000000044e-01,1.759571000000000052e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.825000000000000000e+02,3.266455099999999723e-01,4.828390000000000182e-01,1.749461000000000072e-02
