wl_r_RAW,qe_r_RAW,wl_g_RAW,qe_g_RAW,wl_b_RAW,qe_b_RAW,wl,qe_r,qe_g,qe_b
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.150000000000000000e+02,3.893019661985621660e-01,1.207995999486310562e-01,5.313951411662923979e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.175000000000000000e+02,3.874967967367332067e-01,1.156383751962562489e-01,5.276797834321463737e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.200000000000000000e+02,3.846797736722027405e-01,1.107293863927237693e-01,5.252409495294028258e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.225000000000000000e+02,3.804401560489933387e-01,1.061412398783834476e-01,5.240080948224200286e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.250000000000000000e+02,3.745164641977065667e-01,1.019407489569257030e-01,5.238071407588378026e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.275000000000000000e+02,3.677277841892740984e-01,9.813598713512688976e-02,5.244462057602188032e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.300000000000000000e+02,3.613688225872663806e-01,9.466452157191763972e-02,5.257334082481263104e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.325000000000000000e+02,3.565363655272526522e-01,9.145974845874824122e-02,5.274768666441232573e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.350000000000000000e+02,3.528286100773215805e-01,8.845571093591225731e-02,5.294846993697727849e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.375000000000000000e+02,3.491639413825111116e-01,8.564066095460533268e-02,5.315650248466378958e-02
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.400000000000000000e+02,3.445357427893457336e-01,8.309717276755398951e-02,5.335259675901985604e-02
